origin_date,last_updated,name,number,longitude,latitude,speed,geometry
2024-01-19,1705682280,Piedmont,73,-79.790263,36.067756,35.14,POINT (-8882211.447421376 4309948.502762797)
2024-01-31,1706729903,Piedmont,75,-79.790286,36.067756,37.61,POINT (-8882214.007769665 4309948.502762797)
2024-01-18,1705607410,Piedmont,75,-79.790263,36.067768,36.23,POINT (-8882211.447421376 4309950.155365462)
2024-01-24,1706143090,Carolinian,79,-79.790271,36.067768,20.67,POINT (-8882212.337977303 4309950.155365462)
2024-01-30,1706644556,Piedmont,75,-79.790286,36.067775,35.25,POINT (-8882214.007769665 4309951.119383799)
2023-12-24,1703454857,Piedmont,77,-79.790156,36.067775,21.15,POINT (-8882199.536235861 4309951.119383799)
2024-01-26,1706318775,Carolinian,79,-79.790317,36.067775,20.31,POINT (-8882217.45867388 4309951.119383799)
2024-01-26,1706307078,Piedmont,77,-79.790355,36.067775,9.44,POINT (-8882221.68881453 4309951.119383799)
2024-01-28,1706470857,Piedmont,75,-79.790256,36.067775,27.75,POINT (-8882210.668184942 4309951.119383799)
2024-01-23,1706039385,Piedmont,75,-79.790256,36.067787,27.62,POINT (-8882210.668184942 4309952.771986865)
2024-01-21,1705850939,Piedmont,71,-79.790179,36.067787,21.7,POINT (-8882202.096584149 4309952.771986865)
2024-01-28,1706447106,Piedmont,71,-79.790195,36.067787,26.5,POINT (-8882203.877696002 4309952.771986865)
2024-01-18,1705616030,Piedmont,77,-79.79021,36.067787,26.66,POINT (-8882205.547488365 4309952.771986865)
2024-01-22,1705941490,Piedmont,73,-79.790317,36.067787,40.02,POINT (-8882217.45867388 4309952.771986865)
2024-01-29,1706565373,Piedmont,77,-79.790156,36.067798,31.37,POINT (-8882199.536235861 4309954.286873228)
2024-01-20,1705779842,Piedmont,75,-79.790233,36.067798,31.73,POINT (-8882208.107836653 4309954.286873228)
2024-01-20,1705788659,Piedmont,77,-79.79021,36.067798,27.58,POINT (-8882205.547488365 4309954.286873228)
2024-01-21,1705883697,Piedmont,77,-79.790179,36.067798,27.08,POINT (-8882202.096584149 4309954.286873228)
2024-01-24,1706114456,Piedmont,73,-79.790172,36.067798,21.55,POINT (-8882201.317347715 4309954.286873228)
2024-01-29,1706557450,Piedmont,75,-79.790164,36.067798,29.65,POINT (-8882200.426791789 4309954.286873228)
2024-01-26,1706289240,Piedmont,73,-79.790179,36.067806,23.03,POINT (-8882202.096584149 4309955.388608897)
2024-01-27,1706393463,Piedmont,77,-79.790156,36.067806,9.84,POINT (-8882199.536235861 4309955.388608897)
2024-01-20,1705755898,Piedmont,71,-79.790134,36.067806,32.85,POINT (-8882197.087207064 4309955.388608897)
2024-01-30,1706632868,Piedmont,73,-79.790179,36.067817,35.6,POINT (-8882202.096584149 4309956.9034956265)
2024-01-24,1706133198,Piedmont,77,-79.790172,36.067817,29.2,POINT (-8882201.317347715 4309956.9034956265)
2024-01-29,1706534054,Piedmont,71,-79.79024,36.067817,28.48,POINT (-8882208.887073088 4309956.9034956265)
2024-01-22,1705928873,Piedmont,71,-79.790134,36.067817,26.88,POINT (-8882197.087207064 4309956.9034956265)
2024-01-19,1705701365,Piedmont,77,-79.790141,36.067817,22.59,POINT (-8882197.866443502 4309956.9034956265)
2024-01-22,1705952824,Piedmont,75,-79.790156,36.067817,31.07,POINT (-8882199.536235861 4309956.9034956265)
2024-01-25,1706211653,Piedmont,75,-79.790164,36.067817,9.53,POINT (-8882200.426791789 4309956.9034956265)
2024-01-25,1706219581,Piedmont,77,-79.790195,36.067817,30.34,POINT (-8882203.877696002 4309956.9034956265)
2024-01-19,1705670397,Piedmont,71,-79.79021,36.067836,22.79,POINT (-8882205.547488365 4309959.520118659)
2024-01-20,1705769405,Piedmont,73,-79.790179,36.067836,17.76,POINT (-8882202.096584149 4309959.520118659)
2024-01-21,1705856880,Piedmont,73,-79.790164,36.067836,41.02,POINT (-8882200.426791789 4309959.520118659)
2024-01-25,1706188090,Piedmont,71,-79.790172,36.067836,25.57,POINT (-8882201.317347715 4309959.520118659)
2024-01-25,1706200697,Piedmont,73,-79.790179,36.067848,12.81,POINT (-8882202.096584149 4309961.172723004)
2024-01-29,1706546656,Piedmont,73,-79.790202,36.067848,21.46,POINT (-8882204.656932438 4309961.172723004)
2024-01-27,1706360892,Piedmont,71,-79.790179,36.067855,11.89,POINT (-8882202.096584149 4309962.136742323)
2024-01-24,1706125080,Piedmont,75,-79.790156,36.067855,16.16,POINT (-8882199.536235861 4309962.136742323)
2024-01-25,1706249647,Crescent,19,-79.790286,36.067867,15.54,POINT (-8882214.007769665 4309963.7893470675)
2024-03-02,1709445610,Crescent,19,-79.79021,36.067886,14.48,POINT (-8882205.547488365 4309966.405971763)
2024-01-30,1706663836,Carolinian,79,-79.788859,36.068176,23.46,POINT (-8882055.154856304 4310006.344006072)
2024-01-27,1706401036,Carolinian,79,-79.789081,36.068199,8.88,POINT (-8882079.86778326 4310009.511511644)
2024-01-31,1706747888,Carolinian,79,-79.788226,36.068336,16.92,POINT (-8881984.68961863 4310028.378846645)
2024-01-30,1706651773,Piedmont,77,-79.788119,36.068366,25.49,POINT (-8881972.778433114 4310032.510384242)
2024-02-13,1707829725,Piedmont,71,-79.787234,36.068557,1.62,POINT (-8881874.260683764 4310058.814543895)
2024-02-13,1707829725,Piedmont,71,-79.787234,36.068557,1.62,POINT (-8881874.260683764 4310058.814543895)
2024-01-19,1705682104,Piedmont,73,-79.787181,36.068557,0.0,POINT (-8881868.360750753 4310058.814543895)
2024-01-27,1706392926,Piedmont,77,-79.787219,36.068588,0.0,POINT (-8881872.590891402 4310063.083811433)
2024-01-23,1706029095,Piedmont,73,-79.787067,36.068588,0.0,POINT (-8881855.6703288 4310063.083811433)
2024-01-27,1706392753,Piedmont,77,-79.787212,36.068588,0.0,POINT (-8881871.811654966 4310063.083811433)
2024-01-24,1706133008,Piedmont,77,-79.787105,36.068588,0.0,POINT (-8881859.900469452 4310063.083811433)
2024-01-22,1705941125,Piedmont,73,-79.787067,36.068595,0.0,POINT (-8881855.6703288 4310064.04783982)
2024-01-31,1706738161,Piedmont,77,-79.78712,36.068595,0.01,POINT (-8881861.570261814 4310064.04783982)
2024-01-18,1705625756,Carolinian,79,-79.787128,36.068603,10.45,POINT (-8881862.46081774 4310065.149586654)
2024-01-22,1705960388,Piedmont,77,-79.787112,36.068607,0.0,POINT (-8881860.679705886 4310065.700460112)
2024-01-19,1705692898,Piedmont,75,-79.787051,36.068607,0.0,POINT (-8881853.889216948 4310065.700460112)
2024-01-28,1706459870,Piedmont,73,-79.78696,36.068607,0.0,POINT (-8881843.759143287 4310065.700460112)
2024-01-31,1706706322,Piedmont,71,-79.787044,36.068607,0.0,POINT (-8881853.109980514 4310065.700460112)
2024-01-21,1705856527,Piedmont,73,-79.787021,36.068607,0.0,POINT (-8881850.549632225 4310065.700460112)
2024-01-29,1706565198,Piedmont,77,-79.787089,36.068607,0.01,POINT (-8881858.119357599 4310065.700460112)
2024-01-23,1706046611,Piedmont,77,-79.787067,36.068618,0.01,POINT (-8881855.6703288 4310067.215362267)
2024-01-26,1706287304,Piedmont,73,-79.787074,36.068618,0.0,POINT (-8881856.449565237 4310067.215362267)
2024-01-21,1705850577,Piedmont,71,-79.787013,36.068618,0.19,POINT (-8881849.6590763 4310067.215362267)
2024-01-30,1706632697,Piedmont,73,-79.78699,36.068618,0.0,POINT (-8881847.09872801 4310067.215362267)
2024-02-13,1707829531,Piedmont,71,-79.78699,36.068618,0.16,POINT (-8881847.09872801 4310067.215362267)
2024-01-20,1705779478,Piedmont,75,-79.787036,36.068626,0.0,POINT (-8881852.219424587 4310068.317109421)
2024-01-18,1705600572,Piedmont,73,-79.787006,36.068626,0.0,POINT (-8881848.879839864 4310068.317109421)
2024-01-26,1706306885,Piedmont,77,-79.787494,36.068626,0.05,POINT (-8881903.20375137 4310068.317109421)
2024-01-19,1705701187,Piedmont,77,-79.78696,36.068626,0.0,POINT (-8881843.759143287 4310068.317109421)
2024-01-28,1706446927,Piedmont,71,-79.787051,36.068637,0.0,POINT (-8881853.889216948 4310069.832011942)
2024-01-25,1706211127,Piedmont,75,-79.787074,36.068649,0.0,POINT (-8881856.449565237 4310071.484633117)
2024-01-20,1705787574,Piedmont,77,-79.786876,36.068656,0.02,POINT (-8881834.40830606 4310072.44866225)
2024-01-26,1706274844,Piedmont,71,-79.786914,36.068656,0.01,POINT (-8881838.63844671 4310072.44866225)
2024-01-21,1705883509,Piedmont,77,-79.7868,36.068668,0.0,POINT (-8881825.948024761 4310074.101283823)
2024-01-31,1706747723,Carolinian,79,-79.786662,36.068706,0.0,POINT (-8881810.58593503 4310079.334587133)
2024-01-21,1705866244,Piedmont,75,-79.787212,36.068706,0.0,POINT (-8881871.811654966 4310079.334587133)
2024-01-27,1706384473,Piedmont,75,-79.787181,36.068717,0.0,POINT (-8881868.360750753 4310080.849491195)
2024-01-20,1705769211,Piedmont,73,-79.787082,36.068736,0.0,POINT (-8881857.340121163 4310083.466144163)
2024-01-20,1705769031,Piedmont,73,-79.787089,36.068736,0.0,POINT (-8881858.119357599 4310083.466144163)
2024-01-29,1706546295,Piedmont,73,-79.787051,36.068736,0.0,POINT (-8881853.889216948 4310083.466144163)
2024-01-18,1705625575,Carolinian,79,-79.78654,36.06874,0.02,POINT (-8881797.004957154 4310084.017018553)
2024-01-29,1706533879,Piedmont,71,-79.787067,36.068748,0.0,POINT (-8881855.6703288 4310085.118767417)
2023-12-26,1703640807,Carolinian,79,-79.786357,36.068756,0.0,POINT (-8881776.633490337 4310086.220516392)
2024-01-19,1705711622,Carolinian,79,-79.78641,36.068759,0.0,POINT (-8881782.533423351 4310086.633672287)
2023-12-26,1703641164,Carolinian,79,-79.786349,36.068759,0.01,POINT (-8881775.742934411 4310086.633672287)
2024-01-23,1706015107,Piedmont,71,-79.78699,36.068767,0.09,POINT (-8881847.09872801 4310087.735421417)
2024-01-20,1705804504,Carolinian,79,-79.786136,36.068809,0.01,POINT (-8881752.031882873 4310093.519606186)
2024-01-20,1705804684,Carolinian,79,-79.786128,36.068809,0.02,POINT (-8881751.141326947 4310093.519606186)
2024-01-28,1706488149,Carolinian,79,-79.786243,36.068813,0.01,POINT (-8881763.943068389 4310094.070481086)
2024-01-22,1705969571,Carolinian,79,-79.786204,36.068817,0.01,POINT (-8881759.601608247 4310094.621356017)
2024-01-28,1706487972,Carolinian,79,-79.78625,36.068817,0.0,POINT (-8881764.722304823 4310094.621356017)
2024-01-30,1706663655,Carolinian,79,-79.786166,36.068817,0.0,POINT (-8881755.371467596 4310094.621356017)
2024-01-22,1705969209,Carolinian,79,-79.786212,36.06882,0.0,POINT (-8881760.492164174 4310095.034512232)
2024-01-24,1706142730,Carolinian,79,-79.78622,36.068824,0.0,POINT (-8881761.3827201 4310095.58538721)
2024-01-26,1706318578,Carolinian,79,-79.786204,36.068832,0.0,POINT (-8881759.601608247 4310096.687137249)
2024-01-29,1706579410,Carolinian,79,-79.786494,36.068836,0.0,POINT (-8881791.884260578 4310097.238012312)
2024-01-23,1706055082,Carolinian,79,-79.786388,36.068866,0.0,POINT (-8881780.084394554 4310101.36957617)
2024-01-23,1706054883,Carolinian,79,-79.786395,36.068866,0.0,POINT (-8881780.86363099 4310101.36957617)
2024-01-25,1706230025,Carolinian,79,-79.786426,36.068874,0.0,POINT (-8881784.314535202 4310102.471326798)
2024-01-27,1706400676,Carolinian,79,-79.78651,36.068878,0.0,POINT (-8881793.66537243 4310103.022202155)
2024-01-23,1706039193,Piedmont,75,-79.785846,36.068908,10.05,POINT (-8881719.749230543 4310107.15376822)
2024-01-31,1706729546,Piedmont,75,-79.785701,36.068927,0.02,POINT (-8881703.607904378 4310109.770427542)
2024-01-20,1705755717,Piedmont,71,-79.785586,36.068946,0.0,POINT (-8881690.806162937 4310112.387087495)
2024-01-18,1705607216,Piedmont,75,-79.785586,36.068958,0.0,POINT (-8881690.806162937 4310114.039715161)
2024-01-30,1706644397,Piedmont,75,-79.78551,36.068965,0.0,POINT (-8881682.345881637 4310115.0037480835)
2023-12-24,1703447293,Piedmont,75,-79.78548,36.068977,0.0,POINT (-8881679.006296914 4310116.656376147)
2024-01-22,1705952633,Piedmont,75,-79.785457,36.068977,0.01,POINT (-8881676.445948625 4310116.656376147)
2024-01-30,1706620258,Piedmont,71,-79.785594,36.068958,0.0,POINT (-8881691.696718864 4310114.039715161)
2024-02-01,1706792534,Piedmont,71,-79.785609,36.068965,0.0,POINT (-8881693.366511224 4310115.0037480835)
2024-01-25,1706211404,Piedmont,75,-79.785686,36.068965,3.05,POINT (-8881701.938112017 4310115.0037480835)
2024-01-25,1706219400,Piedmont,77,-79.785472,36.068988,0.02,POINT (-8881678.115740985 4310118.171285428)
2024-01-18,1705615854,Piedmont,77,-79.785525,36.068996,0.06,POINT (-8881684.015674 4310119.273037765)
2023-12-24,1703454671,Piedmont,77,-79.785396,36.069007,0.0,POINT (-8881669.655459687 4310120.787947412)
2024-01-26,1706299146,Piedmont,75,-79.785586,36.069019,0.01,POINT (-8881690.806162937 4310122.440576358)
2024-01-23,1706016366,Piedmont,71,-79.785533,36.069026,0.0,POINT (-8881684.906229924 4310123.404610027)
2024-01-25,1706200514,Piedmont,73,-79.785541,36.069038,0.0,POINT (-8881685.79678585 4310125.057239374)
2024-01-19,1705670036,Piedmont,71,-79.785655,36.069019,0.27,POINT (-8881698.487207802 4310122.440576358)
2024-01-28,1706478979,Piedmont,77,-79.785686,36.069019,0.0,POINT (-8881701.938112017 4310122.440576358)
2024-01-25,1706187910,Piedmont,71,-79.78564,36.069045,0.01,POINT (-8881696.817415439 4310126.021273276)
2024-03-02,1709425267,Carolinian,79,-79.785327,36.069099,12.5,POINT (-8881661.97441482 4310133.458109115)
2023-12-24,1703447112,Piedmont,75,-79.784816,36.069137,32.3,POINT (-8881605.090155026 4310138.691441098)
2024-01-21,1705883334,Piedmont,77,-79.78474,36.069137,23.42,POINT (-8881596.629873725 4310138.691441098)
2024-01-24,1706132831,Piedmont,77,-79.78474,36.069156,24.6,POINT (-8881596.629873725 4310141.308108038)
2024-01-22,1705928681,Piedmont,71,-79.78464,36.069168,17.04,POINT (-8881585.497924646 4310142.9607401155)
2024-01-26,1706298970,Piedmont,75,-79.78423599999999,36.069267,14.13,POINT (-8881540.524850365 4310156.594964374)
2024-01-23,1706054702,Carolinian,79,-79.783794,36.069324,29.46,POINT (-8881491.321635434 4310164.444980063)
2024-01-29,1706579230,Carolinian,79,-79.78094,36.069797,42.74,POINT (-8881173.61580871 4310229.58655779)
2024-01-26,1706274664,Piedmont,71,-79.78049,36.069889,47.17,POINT (-8881123.522037854 4310242.256846742)
2024-01-24,1706114083,Piedmont,73,-79.777476,36.070377,50.39,POINT (-8880788.005092602 4310309.464714184)
2024-01-24,1706142550,Carolinian,79,-79.777606,36.070377,54.16,POINT (-8880802.476626407 4310309.464714184)
2024-01-26,1706318412,Carolinian,79,-79.777591,36.070388,51.01,POINT (-8880800.806834044 4310310.979650428)
2024-01-30,1706651582,Piedmont,77,-79.777476,36.070407,50.01,POINT (-8880788.005092602 4310313.596358984)
2024-01-18,1705607005,Piedmont,75,-79.777415,36.070419,31.24,POINT (-8880781.214603666 4310315.249017345)
2024-01-18,1705615663,Piedmont,77,-79.777484,36.070426,44.26,POINT (-8880788.89564853 4310316.213068171)
2024-01-21,1705866048,Piedmont,75,-79.777461,36.070426,41.35,POINT (-8880786.33530024 4310316.213068171)
2024-02-01,1706792342,Piedmont,71,-79.777446,36.070426,51.88,POINT (-8880784.66550788 4310316.213068171)
2024-01-25,1706187720,Piedmont,71,-79.7774,36.070438,27.24,POINT (-8880779.544811303 4310317.865726933)
2024-03-02,1709425100,Carolinian,79,-79.773578,36.071083,23.04,POINT (-8880354.081717491 4310406.696506287)
2024-01-28,1706487791,Carolinian,79,-79.770534,36.071609,69.46,POINT (-8880015.225187516 4310479.138890404)
2024-01-18,1705625395,Carolinian,79,-79.765384,36.072833,76.65,POINT (-8879441.929809932 4310647.713918148)
2024-01-27,1706400494,Carolinian,79,-79.764079,36.073196,69.74,POINT (-8879296.657874444 4310697.7084871335)
2024-01-19,1705711444,Carolinian,79,-79.76208,36.073715,76.69,POINT (-8879074.13021235 4310769.188726234)
2024-01-23,1706014886,Piedmont,71,-79.761325,36.073905,62.63,POINT (-8878990.0839968 4310795.356947131)
2024-01-19,1705681915,Piedmont,73,-79.759952,36.074275,76.3,POINT (-8878837.242335942 4310846.316295567)
2024-01-31,1706747545,Carolinian,79,-79.755511,36.075569,79.17,POINT (-8878342.872477328 4311024.53817255)
2024-01-25,1706229845,Carolinian,79,-79.752284,36.077339,77.77,POINT (-8877983.64448054 4311268.324005277)
2024-01-21,1705882620,Carolinian,79,-79.751285,36.078006,77.72,POINT (-8877872.436309235 4311360.192745392)
2024-01-23,1706046415,Piedmont,77,-79.750079,36.078758,78.76,POINT (-8877738.185003338 4311463.769830704)
2024-01-30,1706663476,Carolinian,79,-79.747127,36.080596,78.85,POINT (-8877409.569866518 4311716.931822889)
2024-01-24,1706124696,Piedmont,75,-79.746356,36.081058,77.71,POINT (-8877323.742539117 4311780.567596022)
2024-01-31,1706706105,Piedmont,71,-79.743075,36.082817,78.49,POINT (-8876958.503289824 4312022.855271177)
2023-12-26,1703640627,Carolinian,79,-79.742343,36.08311,75.98,POINT (-8876877.017422564 4312063.214120079)
2024-01-22,1705969029,Carolinian,79,-79.742305,36.083137,77.79,POINT (-8876872.787281914 4312066.933202461)
2024-01-30,1706644019,Piedmont,75,-79.738376,36.084186,16.68,POINT (-8876435.413002586 4312211.427428979)
2024-01-27,1706384167,Piedmont,75,-79.738116,36.084236,75.72,POINT (-8876406.469934981 4312218.314713843)
2024-01-25,1706200300,Piedmont,73,-79.735782,36.084526,67.11,POINT (-8876146.650243469 4312258.261052436)
2024-01-29,1706579064,Carolinian,79,-79.732562,36.084762,73.0,POINT (-8875788.201483116 4312290.769216041)
2024-02-13,1707829274,Piedmont,71,-79.732539,36.084808,77.16,POINT (-8875785.641134826 4312297.10556438)
2024-02-13,1707829274,Piedmont,71,-79.732539,36.084808,77.16,POINT (-8875785.641134826 4312297.10556438)
2024-01-20,1705804309,Carolinian,79,-79.731532,36.084876,70.24,POINT (-8875673.542407596 4312306.4723469755)
2024-01-23,1706054522,Carolinian,79,-79.730373,36.084976,72.29,POINT (-8875544.523117768 4312320.24704198)
2024-01-22,1705928518,Piedmont,71,-79.727725,36.085247,75.19,POINT (-8875249.749106148 4312357.57655353)
2024-01-25,1706187383,Piedmont,71,-79.725635,36.085418,72.77,POINT (-8875017.091370389 4312381.131403785)
2024-01-28,1706478676,Piedmont,77,-79.722423,36.085578,78.44,POINT (-8874659.533165962 4312403.171076154)
2024-01-19,1705692701,Piedmont,75,-79.71815,36.085578,78.73,POINT (-8874183.8649818 4312403.171076154)
2024-02-01,1706792186,Piedmont,71,-79.717815,36.085586,71.95,POINT (-8874146.572952386 4312404.27306095)
2024-01-28,1706459473,Piedmont,73,-79.720096,36.085586,65.43,POINT (-8874400.492710885 4312404.27306095)
2024-03-02,1709424921,Carolinian,79,-79.719478,36.085597,67.38,POINT (-8874331.697265575 4312405.788290229)
2024-01-30,1706619995,Piedmont,71,-79.72169,36.085597,74.55,POINT (-8874577.935979208 4312405.788290229)
2024-01-25,1706219207,Piedmont,77,-79.711246,36.085609,66.08,POINT (-8873415.315217365 4312407.441267864)
2024-01-31,1706737940,Piedmont,77,-79.712543,36.085617,64.88,POINT (-8873559.696596922 4312408.543253094)
2024-01-29,1706533586,Piedmont,71,-79.712894,36.085628,72.43,POINT (-8873598.769738194 4312410.058482969)
2024-01-24,1706142373,Carolinian,79,-79.710597,36.085685,63.07,POINT (-8873343.068867842 4312417.910132082)
2024-01-26,1706318234,Carolinian,79,-79.710574,36.085689,61.31,POINT (-8873340.50851955 4312418.4611252155)
2024-01-28,1706487610,Carolinian,79,-79.709773,36.085758,63.56,POINT (-8873251.341607425 4312427.965761188)
2024-01-22,1705960014,Piedmont,77,-79.709087,36.085826,72.92,POINT (-8873174.976436742 4312437.332656975)
2024-01-20,1705755375,Piedmont,71,-79.70901,36.085838,71.88,POINT (-8873166.404835952 4312438.985639426)
2024-01-24,1706113896,Piedmont,73,-79.707965,36.085948,57.74,POINT (-8873050.075968072 4312454.1379903145)
2024-01-26,1706298706,Piedmont,75,-79.707706,36.085967,68.12,POINT (-8873021.244219957 4312456.755216704)
2023-12-24,1703446940,Piedmont,75,-79.705211,36.086227,68.6,POINT (-8872743.502090428 4312492.569957199)
2024-01-23,1706028736,Piedmont,73,-79.704722,36.086257,68.71,POINT (-8872689.06685943 4312496.702434878)
2024-01-18,1705625214,Carolinian,79,-79.704631,36.08628,60.63,POINT (-8872678.936785769 4312499.870668834)
2024-01-27,1706400315,Carolinian,79,-79.704227,36.08633,59.0,POINT (-8872633.963711487 4312506.758137152)
2024-01-18,1705613828,Piedmont,77,-79.398067,36.080306,0.0,POINT (-8838552.388410218 4311676.987480985)
2024-01-26,1706304531,Piedmont,77,-79.398036,36.080337,0.92,POINT (-8838548.937506003 4311681.257386362)
2024-01-18,1705623414,Carolinian,79,-79.396564,36.080558,0.06,POINT (-8838385.075215556 4311711.697728322)
2024-01-18,1705623234,Carolinian,79,-79.396518,36.080566,2.78,POINT (-8838379.95451898 4311712.799642757)
2024-01-19,1705709281,Carolinian,79,-79.396556,36.080574,0.01,POINT (-8838384.18465963 4311713.901557304)
2024-01-19,1705708922,Carolinian,79,-79.396564,36.080574,0.0,POINT (-8838385.075215556 4311713.901557304)
2024-01-19,1705709451,Carolinian,79,-79.396548,36.080574,0.02,POINT (-8838383.294103703 4311713.901557304)
2024-01-20,1705785999,Piedmont,77,-79.402736,36.080688,0.0,POINT (-8839072.139112731 4311729.603851793)
2024-01-27,1706399054,Carolinian,79,-79.395396,36.080791,59.85,POINT (-8838255.05405031 4311743.791032178)
2024-01-19,1705710004,Carolinian,79,-79.403636,36.080951,33.22,POINT (-8839172.326654447 4311765.829407501)
2024-01-19,1705708742,Carolinian,79,-79.393886,36.081092,21.01,POINT (-8838086.961619211 4311785.250762929)
2023-12-24,1703453204,Piedmont,77,-79.40433,36.081188,37.57,POINT (-8839249.582381057 4311798.473833362)
2024-01-27,1706390797,Piedmont,77,-79.392177,36.081417,22.12,POINT (-8837896.716609446 4311830.016431145)
2024-01-31,1706745917,Carolinian,79,-79.390628,36.081695,70.21,POINT (-8837724.282718208 4311868.308441872)
2024-01-25,1706228044,Carolinian,79,-79.390391,36.081737,65.36,POINT (-8837697.899998888 4311874.093577567)
2024-01-18,1705613528,Piedmont,77,-79.390353,36.081748,13.74,POINT (-8837693.66985824 4311875.608732664)
2024-03-02,1709422942,Carolinian,79,-79.388949,36.082015,69.3,POINT (-8837537.377293166 4311912.38574414)
2023-12-26,1703639185,Carolinian,79,-79.387843,36.082237,67.67,POINT (-8837414.257936347 4311942.964477986)
2024-01-23,1706053264,Carolinian,79,-79.407588,36.082248,68.32,POINT (-8839612.26128206 4311944.479642719)
2024-01-21,1705881176,Carolinian,79,-79.387698,36.082271,68.68,POINT (-8837398.116610182 4311947.647715118)
2024-01-18,1705623060,Carolinian,79,-79.386508,36.082496,15.87,POINT (-8837265.646416139 4311978.6397766)
2024-01-25,1706217972,Piedmont,77,-79.408671,36.082649,44.37,POINT (-8839732.82029059 4311999.714429069)
2024-01-24,1706140754,Carolinian,79,-79.409549,36.082954,60.67,POINT (-8839830.558803506 4312041.726113547)
2024-01-31,1706704879,Piedmont,71,-79.409739,36.083026,64.96,POINT (-8839851.709506758 4312051.643649723)
2024-01-29,1706532064,Piedmont,71,-79.383861,36.083099,8.37,POINT (-8836970.98372401 4312061.698938734)
2024-01-22,1705967218,Carolinian,79,-79.410724,36.083358,67.83,POINT (-8839961.359205188 4312097.37462849)
2024-01-20,1705802872,Carolinian,79,-79.412318,36.08385,61.31,POINT (-8840138.802473513 4312165.1449883105)
2024-01-28,1706458276,Piedmont,73,-79.415462,36.084957,60.98,POINT (-8840488.790952567 4312317.629848582)
2024-01-28,1706485628,Carolinian,79,-79.415477,36.084979,57.46,POINT (-8840490.460744929 4312320.660283103)
2024-01-21,1705864576,Piedmont,75,-79.418551,36.086006,54.15,POINT (-8840832.656859627 4312462.127420228)
2024-02-13,1707827508,Piedmont,71,-79.19984,36.081607,61.76,POINT (-8816485.85970874 4311856.187215197)
2024-02-13,1707827508,Piedmont,71,-79.19984,36.081607,61.76,POINT (-8816485.85970874 4311856.187215197)
2024-01-26,1706271955,Piedmont,71,-79.200412,36.081699,66.56,POINT (-8816549.534457473 4311868.859407043)
2024-01-22,1705966506,Carolinian,79,-79.200694,36.081752,61.87,POINT (-8816580.926553877 4311876.159698207)
2024-01-23,1706052556,Carolinian,79,-79.202311,36.081886,59.35,POINT (-8816760.93017049 4311894.61706008)
2024-01-20,1705802157,Carolinian,79,-79.202662,36.081951,62.45,POINT (-8816800.003311759 4311903.570269334)
2024-01-29,1706554913,Piedmont,75,-79.203349,36.082027,70.15,POINT (-8816876.479801934 4311914.038646463)
2024-01-27,1706358560,Piedmont,71,-79.203654,36.082077,70.62,POINT (-8816910.432246625 4311920.925742201)
2024-01-18,1705622334,Carolinian,79,-79.204173,36.082141,63.29,POINT (-8816968.207062347 4311929.741231132)
2024-01-26,1706316073,Carolinian,79,-79.20721,36.082477,63.37,POINT (-8817306.284355886 4311976.022665758)
2024-02-01,1706790378,Piedmont,71,-79.208026,36.082557,68.04,POINT (-8817397.121060373 4311987.042084107)
2024-01-30,1706630518,Piedmont,73,-79.208217,36.082588,68.43,POINT (-8817418.383083116 4311991.312111731)
2024-01-28,1706444759,Piedmont,71,-79.208507,36.082618,74.06,POINT (-8817450.665735444 4311995.444398131)
2024-01-27,1706398334,Carolinian,79,-79.209712,36.082775,66.72,POINT (-8817584.805721851 4312017.070056014)
2024-01-31,1706716926,Piedmont,73,-79.211215,36.082958,70.15,POINT (-8817752.118916512 4312042.277087539)
2024-01-20,1705777308,Piedmont,75,-79.213084,36.083168,77.13,POINT (-8817960.175044805 4312071.203261587)
2024-01-25,1706209015,Piedmont,75,-79.214114,36.083168,79.09,POINT (-8818074.834120322 4312071.203261587)
2024-01-31,1706735823,Piedmont,77,-79.221789,36.084148,77.79,POINT (-8818929.211212162 4312206.193095413)
2024-01-19,1705690910,Piedmont,75,-79.221553,36.084156,79.7,POINT (-8818902.939812334 4312207.295060164)
2024-01-27,1706382103,Piedmont,75,-79.222941,36.084297,78.07,POINT (-8819057.451265557 4312226.71720731)
2024-01-28,1706476616,Piedmont,77,-79.226054,36.084667,77.3,POINT (-8819403.988840396 4312277.68329099)
2024-01-23,1706036504,Piedmont,75,-79.226199,36.084667,70.99,POINT (-8819420.130166559 4312277.68329099)
2024-01-30,1706649424,Piedmont,77,-79.229587,36.085025,42.9,POINT (-8819797.280601365 4312326.996648931)
2024-01-29,1706577070,Carolinian,79,-79.230273,36.085109,77.51,POINT (-8819873.645772051 4312338.567413489)
2024-01-29,1706563035,Piedmont,77,-79.230052,36.085128,73.56,POINT (-8819849.044164585 4312341.184611947)
2024-03-02,1709422403,Carolinian,79,-79.232875,36.085613,77.07,POINT (-8820163.299087098 4312407.992260465)
2024-01-23,1706013101,Piedmont,71,-79.234622,36.086097,75.26,POINT (-8820357.774237512 4312474.662572146)
2024-01-31,1706745374,Carolinian,79,-79.234668,36.086109,79.19,POINT (-8820362.894934088 4312476.315560295)
2024-01-30,1706641900,Piedmont,75,-79.236506,36.086837,65.41,POINT (-8820567.500158167 4312576.597313324)
2024-01-28,1706484909,Carolinian,79,-79.23659,36.086856,77.79,POINT (-8820576.850995393 4312579.2145693125)
