Node_ID,Elevation_Smoothen_ft,Elev_Delta_CUR_ft,Elev_Delta_FOL_2500ft_ft,Elev_Delta_FOL_2k5_5kft_ft,Elev_Delta_FOL_5k_7k5ft_ft,Elev_Delta_FOL_7k5_10kft_ft,Elev_Delta_PRE_2500ft_ft,Elev_Delta_PRE_2k5_5kft_ft,Elev_Delta_PRE_5k_7k5ft_ft,Elev_Delta_PRE_7k5_10kft_ft,Curve_CUR_degree,Curve_Max_FOL_2500ft_degree,Curve_Max_FOL_2k5_5kft_degree,Curve_Max_FOL_5k_7k5ft_degree,Curve_Max_FOL_7k5_10kft_degree,Curve_Max_PRE_2500ft_degree,Curve_Max_PRE_2k5_5kft_degree,Curve_Max_PRE_5k_7k5ft_degree,Curve_Max_PRE_7k5_10kft_degree,Elev_Delta_FOL_2500ft_ft,Curve_Max_FOL_2k5_5kft_degree,Curve_Max_FOL_5k_7k5ft_degree,Curve_Max_FOL_7k5_10kft_degree,Curve_Max_PRE_2500ft_degree,Curve_Max_PRE_2k5_5kft_degree,Curve_Max_PRE_5k_7k5ft_degree,Curve_Max_PRE_7k5_10kft_degree,geometry,x_coordinate,y_coordinate,Station_if,Intersection_if,Switch_if,Node_ID,Cumulative_Length_ft,Distance_to_FOL_Intersection,Distance_to_FOL_Station,Distance_to_FOL_Switch,Distance_to_PRE_Intersection,Distance_to_PRE_Station,Distance_to_PRE_Switch,Loco,Coach,CCU
6877,420.7414143,0.08982214300000009,0.05410328600000014,0.0184820000000002,0.026334428999999774,0.0411164279999997,0.10422528600000021,0.010107856999999854,0.07346828600000038,0.025017286000000354,0.0,9.3018,17.824,15.469,18.6866,13.277,5.8212,11.2558,13.9544,0.05410328600000014,17.824,15.469,18.6866,13.277,5.8212,11.2558,13.9544,POINT (-78.9356 36.01466),-78.9356,36.01466,1,0,0,6877,343850,3800,0,21450,250,0,30700,1,4,0
6878,424.6845,0.05410328600000014,0.016239999999999668,0.0184820000000002,0.026334428999999774,0.0411164279999997,0.10422528600000021,0.010107856999999854,0.07346828600000038,0.025017286000000354,4.4686,9.3018,17.824,15.469,18.6866,13.277,5.8212,11.2558,13.9544,0.016239999999999668,17.824,15.469,18.6866,13.277,5.8212,11.2558,13.9544,POINT (-78.9355 36.01458),-78.9355,36.01458,0,0,0,6878,343900,3750,13650,21400,300,50,30750,1,4,0
6879,426.1517429,0.016239999999999668,0.004800285000000031,0.0184820000000002,0.026334428999999774,0.0411164279999997,0.10422528600000021,0.010107856999999854,0.07346828600000038,0.025017286000000354,5.9104,9.3018,17.824,15.469,18.6866,13.277,5.8212,11.2558,13.9544,0.004800285000000031,17.824,15.469,18.6866,13.277,5.8212,11.2558,13.9544,POINT (-78.9354 36.0145),-78.9354,36.0145,0,0,0,6879,343950,3700,13600,21350,350,100,30800,1,4,0
6880,426.3085,0.003744285000000218,0.004800285000000031,0.0184820000000002,0.026334428999999774,0.0411164279999997,0.10422528600000021,0.010107856999999854,0.07346828600000038,0.025017286000000354,0.0012,9.3018,17.824,15.469,18.6866,13.277,5.8212,11.2558,13.9544,0.004800285000000031,17.824,15.469,18.6866,13.277,5.8212,11.2558,13.9544,POINT (-78.9353 36.01442),-78.9353,36.01442,0,0,0,6880,344000,3650,13550,21300,400,150,30850,1,4,0
6881,426.5261714,0.004206857000000354,0.004800285000000031,0.0184820000000002,0.026334428999999774,0.0411164279999997,0.10422528600000021,0.010107856999999854,0.07346828600000038,0.025017286000000354,0.0018,9.3018,17.824,15.469,18.6866,13.277,5.8212,11.2558,13.9544,0.004800285000000031,17.824,15.469,18.6866,13.277,5.8212,11.2558,13.9544,POINT (-78.9352 36.01434),-78.9352,36.01434,0,0,0,6881,344050,3600,13500,21250,450,200,30900,1,4,0
6882,426.7291857,0.0034731429999999364,0.004800285000000031,0.0184820000000002,0.026334428999999774,0.0411164279999997,0.10422528600000021,0.010107856999999854,0.07346828600000038,0.025017286000000354,0.0006,9.3018,17.824,15.469,18.6866,13.277,5.8212,11.2558,13.9544,0.004800285000000031,17.824,15.469,18.6866,13.277,5.8212,11.2558,13.9544,POINT (-78.9351 36.01425),-78.9351,36.01425,0,0,0,6882,344100,3550,13450,21200,500,250,30950,1,4,0
6883,426.8734857,0.0020744289999998955,0.004800285000000031,0.0184820000000002,0.026334428999999774,0.0411164279999997,0.10422528600000021,0.010107856999999854,0.07346828600000038,0.025017286000000354,9.3018,5.05,17.824,15.469,18.6866,13.277,5.8212,11.2558,13.9544,0.004800285000000031,17.824,15.469,18.6866,13.277,5.8212,11.2558,13.9544,POINT (-78.935 36.01417),-78.935,36.01417,0,0,0,6883,344150,3500,13400,21150,550,300,31000,1,4,0
6884,426.9366286,0.0015890000000001693,0.004800285000000031,0.0184820000000002,0.026334428999999774,0.0411164279999997,0.10422528600000021,0.010107856999999854,0.07346828600000038,0.025017286000000354,5.05,12.2306,17.824,15.469,18.6866,13.277,5.2626,11.2558,13.9544,0.004800285000000031,17.824,15.469,18.6866,13.277,5.2626,11.2558,13.9544,POINT (-78.9349 36.01408),-78.9349,36.01408,0,0,0,6884,344200,3450,13350,21100,600,350,31050,1,4,0
6885,427.0323857,0.001468714000000091,0.004800285000000031,0.0184820000000002,0.026334428999999774,0.0411164279999997,0.10422528600000021,0.010107856999999854,0.07346828600000038,0.025017286000000354,0.0002,12.2306,17.824,15.469,18.6866,13.277,5.2626,11.2558,13.9544,0.004800285000000031,17.824,15.469,18.6866,13.277,5.2626,11.2558,13.9544,POINT (-78.9348 36.01399),-78.9348,36.01399,0,0,0,6885,344250,3400,13300,21050,650,400,31100,1,4,0
6886,427.0835,0.00088914299999999,0.004800285000000031,0.0184820000000002,0.026334428999999774,0.0411164279999997,0.10422528600000021,0.010107856999999854,0.07346828600000038,0.025017286000000354,0.0004,12.2306,17.824,15.469,18.6866,13.277,5.2626,11.2558,13.9544,0.004800285000000031,17.824,15.469,18.6866,13.277,5.2626,11.2558,13.9544,POINT (-78.9348 36.0139),-78.9348,36.0139,0,0,0,6886,344300,3350,13250,21000,700,450,31150,1,4,0
